chain,chunk,first_sample,samples,nominal_ns,written_ns,retries
0,195,199680,1024,92454094213671,92454094214137,0
0,196,200704,1024,92454094558917,92454094559459,0
0,197,201728,1024,92454094904163,92454094904870,0
0,198,202752,1024,92454095249408,92454095250042,0
0,199,203776,1024,92454095594654,92454095595183,0
0,200,204800,1024,92454095939900,92454095940535,0
0,201,205824,1024,92454096285146,92454096285787,0
0,202,206848,1024,92454096630392,92454096631009,0
0,203,207872,1024,92454096975637,92454096976190,0
0,204,208896,1024,92454097320883,92454097321442,0
0,205,209920,1024,92454097666129,92454097666883,0
0,206,210944,1024,92454098011375,92454098012015,0
0,207,211968,1024,92454098356620,92454098357237,0
0,208,212992,1024,92454098701866,92454098702499,0
0,209,214016,1024,92454099047112,92454099047560,0
0,210,215040,1024,92454099392358,92454099393022,0
0,211,216064,1024,92454099737603,92454099738213,0
0,212,217088,1024,92454100082849,92454100083625,0
0,213,218112,1024,92454100428095,92454100429137,0
0,214,219136,1024,92454100773341,92454100774369,0
0,215,220160,1024,92454101118587,92454101119320,0
0,216,221184,1024,92454101463832,92454101464462,0
0,217,222208,1024,92454101809078,92454101809943,0
0,218,223232,1024,92454102154324,92454102155195,0
0,219,224256,1024,92454102499570,92454102500206,0
0,220,225280,1024,92454102844815,92454102845409,0
0,221,226304,1024,92454103190061,92454103191020,0
0,222,227328,1024,92454103535307,92454103535942,0
0,223,228352,1024,92454103880553,92454103881253,0
0,224,229376,1024,92454104225799,92454104226535,0
0,225,230400,1024,92454104571044,92454104571666,0
0,226,231424,1024,92454104916290,92454104916869,0
0,227,232448,1024,92454105261536,92454105261980,0
0,228,233472,1024,92454105606782,92454105607392,0
0,229,234496,1024,92454105952027,92454105952653,0
0,230,235520,1024,92454106297273,92454106298015,0
0,231,236544,1024,92454106642519,92454106642996,0
0,232,237568,1024,92454106987765,92454106988259,0
0,233,238592,1024,92454107333011,92454107333620,0
0,234,239616,1024,92454107678256,92454107678792,0
0,235,240640,1024,92454108023502,92454108024153,0
0,236,241664,1024,92454108368748,92454108369485,0
0,237,242688,1024,92454108713994,92454108714677,0
0,238,243712,1024,92454109059239,92454109060029,0
0,239,244736,1024,92454109404485,92454109405071,0
0,240,245760,1024,92454109749731,92454109750502,0
0,241,246784,1024,92454110094977,92454110095784,0
0,242,247808,1024,92454110440222,92454110440865,0
0,243,248832,1024,92454110785468,92454110786137,0
0,244,249856,1024,92454111130714,92454111131429,0
0,245,250880,1024,92454111475960,92454111476881,0
0,246,251904,1024,92454111821206,92454111822062,0
0,247,252928,1024,92454112166451,92454112167114,0
0,248,253952,1024,92454112511697,92454112512405,0
0,249,254976,1024,92454112856943,92454112857667,0
0,250,256000,1024,92454113202189,92454113202909,0
0,251,257024,1024,92454113547434,92454113548091,0
0,252,258048,1024,92454113892680,92454113893552,0
0,253,259072,1024,92454114237926,92454114238624,0
0,254,260096,1024,92454114583172,92454114583815,0
0,255,261120,1024,92454114928418,92454114929067,0
0,256,262144,1024,92454115273663,92454115274308,0
0,257,263168,1024,92454115618909,92454115619521,0
0,258,264192,1024,92454115964155,92454115964722,0
0,259,265216,1024,92454116309401,92454116309994,0
0,260,266240,1024,92454116654646,92454116655385,0
0,261,267264,1024,92454116999892,92454117000657,0
0,262,268288,1024,92454117345138,92454117345788,0
0,263,269312,1024,92454117690384,92454117691101,0
0,264,270336,1024,92454118035629,92454118036362,0
0,265,271360,1024,92454118380875,92454118381424,0
0,266,272384,1024,92454118726121,92454118726665,0
0,267,273408,1024,92454119071367,92454119072117,0
0,268,274432,1024,92454119416613,92454119417248,0
0,269,275456,1024,92454119761858,92454119762561,0
0,270,276480,1024,92454120107104,92454120107812,0
0,271,277504,1024,92454120452350,92454120453154,0
0,272,278528,1024,92454120797596,92454120798265,0
0,273,279552,1024,92454121142841,92454121143447,0
0,274,280576,1024,92454121488087,92454121488788,0
0,275,281600,1024,92454121833333,92454121833961,0
0,276,282624,1024,92454122178579,92454122179122,0
0,277,283648,1024,92454122523825,92454122524444,0
0,278,284672,1024,92454122869070,92454122869775,0
0,279,285696,1024,92454123214316,92454123214837,0
0,280,286720,1024,92454123559562,92454123560318,0
0,281,287744,1024,92454123904808,92454123905651,0
0,282,288768,1024,92454124250053,92454124250652,0
