N,policy,threads,receivers,rate,traced,repeats,saturated,x,batch_n,batch_mean_us,batch_std_us,batch_min_us,batch_max_us,frame_n,frame_mean_us,frame_std_us,frame_min_us,frame_max_us,edf_miss_ratio,lost_records
2048,edf,1,1,20000000.0,True,3,True,0.9479994732,,,,,,76357,4371.44576819414,253.9188546925672,3591.931,5697.043,0.061864091275165047,72976565
2048,edf,1,1,10000000.0,True,3,True,0.9524961224833334,292969,14835060.101451153,1930263.6419691734,11374123.209,18536238.345,76497,4343.030547093349,264.55498866964365,3468.677,5833.428,3.5399008777184225e-05,72115459
2048,edf,1,3,2500000.0,True,3,False,0.9550485810166666,219726,368696.4075171305,157886.45849922326,129037.843,698886.943,75875,2660.90032060626,683.9399258997843,1812.861,5632.831,0.0,24742535
2048,edf,2,2,5000000.0,True,3,True,0.9586712850357803,209870,1920146.3319988663,837460.6914999622,555714.98,2996386.292,98135,38381.00894041881,838.0577878181548,35823.941,47871.679,6.174877274314173e-06,375864296
2048,edf,6,3,10000000.0,True,3,True,0.9599296203666667,391730,8295825.0068215085,694263.3976285065,6943863.772,9682454.657,265283,10479.787416600386,1466.798274800867,4007.895,15807.055,0.003924380892246354,633753496
2048,rm,2,1,2500000.0,True,3,False,0.24991628712884087,10937,111.02329935082746,11.660133103902574,92.555,678.783,25734,431.8910491956167,295.1644315162938,250.669,1268.043,,3499208118
2048,rm,6,3,2500000.0,True,3,False,0.2802027628003348,32258,175.8982593465187,64.95685163904051,98.294,1468.988,77202,486.57967239190697,297.56195383928184,187.726,5268.879,,10328123562
2048,rm,1,1,2500000.0,True,3,False,0.3261858471324817,14585,181.3800010970175,72.43144534772105,118.914,935.134,25734,423.72059388357815,274.1353873828108,214.308,1374.146,,1347019822
2048,rm,2,2,2500000.0,True,3,False,0.5038182822845308,29132,222.74326723190998,99.56376166246272,119.789,1086.814,51468,585.2439511735447,306.4478693770376,254.459,1558.282,,2672511215
2048,rm,6,3,5000000.0,True,3,False,0.5540549001257232,81455,211.065351985759,79.88880825788517,96.919,3275.795,154404,448.1491987707572,173.74822882973902,184.406,7125.92,,8349267870
2048,rm,1,1,5000000.0,True,3,False,0.6382445244399134,53430,177.95562496724685,68.89679076615303,118.201,620.696,51468,355.36933321675605,125.72466984843001,212.146,1385.446,,688682035
2048,rm,1,2,2500000.0,True,3,False,0.6502543882853208,60798,491.7967222112569,199.75022423803793,217.218,2775.533,51468,734.3453236768478,365.2107244145502,321.261,7699.861,,624314874
