tag,dir,N,workers,receivers,rate,policy,traced,rep,target,kind,rc,analysis_rc,wall_s
target_N2048_t2_r2_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r2_rate2500000_rm_trace_rep0,2048,2,2,2500000,rm,True,0,0.5,target,0,0,129.2
target_N2048_t2_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r3_rate2500000_rr_trace_rep0,2048,2,3,2500000,rr,True,0,"0.7,0.85",target,0,0,150.8
target_N2048_t2_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r3_rate2500000_edf_trace_rep0,2048,2,3,2500000,edf,True,0,"0.7,0.85",target,0,0,84.1
target_N2048_t2_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r3_rate2500000_rm_trace_rep0,2048,2,3,2500000,rm,True,0,"0.7,0.85",target,0,0,140.0
target_N2048_t2_r2_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r2_rate5000000_rr_trace_rep0,2048,2,2,5000000,rr,True,0,0.95,target,0,0,88.8
target_N2048_t2_r2_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r2_rate5000000_edf_trace_rep0,2048,2,2,5000000,edf,True,0,0.95,target,0,0,91.1
target_N2048_t2_r2_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t2_r2_rate5000000_rm_trace_rep0,2048,2,2,5000000,rm,True,0,0.95,target,0,0,104.3
target_N2048_t6_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate2500000_rr_trace_rep0,2048,6,3,2500000,rr,True,0,0.3,target,0,0,344.5
target_N2048_t6_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate2500000_edf_trace_rep0,2048,6,3,2500000,edf,True,0,0.3,target,0,0,94.1
target_N2048_t6_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate2500000_rm_trace_rep0,2048,6,3,2500000,rm,True,0,0.3,target,0,0,335.7
target_N2048_t6_r3_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate5000000_rr_trace_rep0,2048,6,3,5000000,rr,True,0,0.5,target,0,0,332.5
target_N2048_t6_r3_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate5000000_edf_trace_rep0,2048,6,3,5000000,edf,True,0,0.5,target,0,0,104.1
target_N2048_t6_r3_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate5000000_rm_trace_rep0,2048,6,3,5000000,rm,True,0,0.5,target,0,0,329.2
target_N2048_t6_r2_rate10000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r2_rate10000000_rr_trace_rep0,2048,6,2,10000000,rr,True,0,0.7,target,0,0,286.7
target_N2048_t6_r2_rate10000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r2_rate10000000_edf_trace_rep0,2048,6,2,10000000,edf,True,0,0.7,target,0,0,97.1
target_N2048_t6_r2_rate10000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r2_rate10000000_rm_trace_rep0,2048,6,2,10000000,rm,True,0,0.7,target,0,0,298.5
target_N2048_t6_r4_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r4_rate5000000_rr_trace_rep0,2048,6,4,5000000,rr,True,0,0.85,target,0,0,392.3
target_N2048_t6_r4_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r4_rate5000000_edf_trace_rep0,2048,6,4,5000000,edf,True,0,0.85,target,0,0,108.5
target_N2048_t6_r4_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r4_rate5000000_rm_trace_rep0,2048,6,4,5000000,rm,True,0,0.85,target,0,0,380.8
target_N2048_t6_r3_rate10000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate10000000_rr_trace_rep0,2048,6,3,10000000,rr,True,0,0.95,target,0,0,165.0
target_N2048_t6_r3_rate10000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate10000000_edf_trace_rep0,2048,6,3,10000000,edf,True,0,0.95,target,0,0,127.4
target_N2048_t6_r3_rate10000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N2048_t6_r3_rate10000000_rm_trace_rep0,2048,6,3,10000000,rm,True,0,0.95,target,0,0,170.2
target_N4096_t1_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r1_rate2500000_rr_trace_rep0,4096,1,1,2500000,rr,True,0,0.3,target,0,0,86.3
target_N4096_t1_r1_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r1_rate2500000_edf_trace_rep0,4096,1,1,2500000,edf,True,0,0.3,target,0,0,75.9
target_N4096_t1_r1_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r1_rate2500000_rm_trace_rep0,4096,1,1,2500000,rm,True,0,0.3,target,0,0,85.9
target_N4096_t1_r1_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r1_rate5000000_rr_trace_rep0,4096,1,1,5000000,rr,True,0,"0.5,0.7",target,0,0,86.6
target_N4096_t1_r1_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r1_rate5000000_edf_trace_rep0,4096,1,1,5000000,edf,True,0,"0.5,0.7",target,0,0,75.3
target_N4096_t1_r1_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r1_rate5000000_rm_trace_rep0,4096,1,1,5000000,rm,True,0,"0.5,0.7",target,0,0,85.5
target_N4096_t1_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r3_rate2500000_rr_trace_rep0,4096,1,3,2500000,rr,True,0,"0.85,0.95",target,0,0,79.0
target_N4096_t1_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r3_rate2500000_edf_trace_rep0,4096,1,3,2500000,edf,True,0,"0.85,0.95",target,0,0,74.2
target_N4096_t1_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t1_r3_rate2500000_rm_trace_rep0,4096,1,3,2500000,rm,True,0,"0.85,0.95",target,0,0,113.0
target_N4096_t2_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate2500000_rr_trace_rep0,4096,2,1,2500000,rr,True,0,0.3,target,0,0,110.0
target_N4096_t2_r1_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate2500000_edf_trace_rep0,4096,2,1,2500000,edf,True,0,0.3,target,0,0,78.9
target_N4096_t2_r1_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate2500000_rm_trace_rep0,4096,2,1,2500000,rm,True,0,0.3,target,0,0,109.9
target_N4096_t2_r1_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate5000000_rr_trace_rep0,4096,2,1,5000000,rr,True,0,0.5,target,0,0,110.2
target_N4096_t2_r1_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate5000000_edf_trace_rep0,4096,2,1,5000000,edf,True,0,0.5,target,0,0,79.8
target_N4096_t2_r1_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate5000000_rm_trace_rep0,4096,2,1,5000000,rm,True,0,0.5,target,0,0,110.0
target_N4096_t2_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r3_rate2500000_rr_trace_rep0,4096,2,3,2500000,rr,True,0,"0.7,0.85",target,0,0,151.4
target_N4096_t2_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r3_rate2500000_edf_trace_rep0,4096,2,3,2500000,edf,True,0,"0.7,0.85",target,0,0,78.7
target_N4096_t2_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r3_rate2500000_rm_trace_rep0,4096,2,3,2500000,rm,True,0,"0.7,0.85",target,0,0,144.9
target_N4096_t2_r1_rate10000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N4096_t2_r1_rate10000000_rr_trace_rep0,4096,2,1,10000000,rr,True,0,0.95,target,0,0,83.1
